Simulation,elapsed_time
0,601.747097492218
1,578.3407189846039
2,591.8543765544891
3,588.3541934490204
4,612.9917721748352
5,585.2433710098267
6,599.4106345176697
7,617.4540438652039
8,573.4488122463226
9,575.3120393753052
10,601.1185960769653
11,592.4289119243622
12,611.0845913887024
13,600.7246332168579
14,586.7134482860565
15,595.1966042518616
16,593.6287534236908
17,588.090188741684
18,579.9488260746002
19,597.8361535072327
20,599.8021514415741
21,607.4480612277985
22,594.6683881282806
23,603.5021367073059
24,611.2634332180023
25,593.7824909687042
26,586.9903340339661
27,683.0867869853973
28,613.8994281291962
29,599.9718904495239
30,583.4757678508759
31,595.4344544410706
32,595.5680766105652
33,593.7255187034607
34,586.2609100341797
35,611.2044036388397
36,593.1096031665802
37,594.7991454601288
38,593.9247014522552
39,586.0537443161011
40,604.238361120224
41,601.9755973815918
42,595.5066578388214
43,589.010792016983
44,569.0181970596313
45,604.4177794456482
46,593.9244530200958
47,612.4968452453613
48,594.6182086467743
49,595.4574236869812
